,S.No,words,init,final,init_frame,final_frame,Diff,phonemes
0,0, ,0.0,1.01,0,25,25,[]
1,1,this,1.037,1.346,26,34,8,"['DH', 'IH1', 'S']"
2,2,is,1.609,1.819,40,45,5,"['IH1', 'Z']"
3,3,test,1.919,2.173,48,54,6,"['T', 'EH1', 'S', 'T']"
4,4,number,2.428,2.701,61,67,6,"['N', 'AH1', 'M', 'B', 'ER0']"
5,5,one,2.71,3.01,68,75,7,"['W', 'AH1', 'N']"
6,6,kia,3.773,4.01,94,99,5,"['K', 'IY1', 'ER0']"
7,7,mera,4.01,4.328,100,108,8,"['M', 'EH1', 'R', 'AH0']"
8,8,moun,4.355,4.646,109,116,7,"['M', 'AW1', 'N']"
9,9,sirf,4.179,4.937,104,123,19,"['S', 'ER1', 'F']"
10,10,tab,5.374,5.51,134,138,4,"['T', 'AE1', 'B']"
11,11,hilta,5.637,6.037,141,150,9,"['HH', 'IH1', 'L', 'T', 'AH0']"
12,12,ha,6.037,6.283,151,157,6,"['HH', 'AA1']"
13,13,jab,6.974,7.256,174,181,7,"['JH', 'AE1', 'B']"
14,14,ma,7.292,7.629,182,191,9,"['M', 'AA1']"
15,15,bolta,8.629,8.92,216,222,6,"['B', 'OW1', 'L', 'T', 'AH0']"
16,16,hon,8.92,9.229,223,231,8,"['HH', 'AA1', 'N']"
17,17,aa,10.093,10.356,252,259,7,['AA1']
18,18,ba,10.975,11.338,274,283,9,"['B', 'AA1']"
19,19,fa,11.957,12.266,299,307,8,"['F', 'AA1']"
20,20,ga,12.811,13.066,320,327,7,"['G', 'AA1']"
21,21,oo,13.693,13.975,342,349,7,['UW1']
22,22,ee,14.484,14.766,362,369,7,['IY1']
23,23,ta,15.366,15.585,384,390,6,"['T', 'AA1']"
